<ID|readonly|noverify>;<English>
//LOADING SCREENS
loading_bg;Loading screen
loading_bg/login_layer;P-47D-25-RE Thunderbolt — Ardennes
loading_bg/login_layer_a1;Spitfire Mk. IX vs Ju 87 D-5
loading_bg/login_layer_b1;PBY-5 Catalina
loading_bg/login_layer_c1;F-86A-5-NA Sabre
loading_bg/login_layer_d1;He 111 H-3
loading_bg/login_layer_e1;Tiger E (früh) and Fw 190 A-5/U12
loading_bg/login_layer_f1;Pe-2-83
loading_bg/login_layer_g1;Ki 84-I Hei vs P-38E-LO
loading_bg/login_layer_h1;P-47D-28-RE Thunderbolt — Aztec Eagle
loading_bg/login_layer_i1;F-84B-26-RE Thunderjet
loading_bg/login_layer_j1;Bf 109 E-3 vs Spitfire Mk. IIb
loading_bg/login_layer_k1;F6F-5 Hellcat vs A6M3
loading_bg/login_layer_l1;Me 410 A-1 vs Beaufighter Mk. VIc
loading_bg/login_layer_m1;Tiger E (früh) and Fw 190 D-9 vs T-34-85 (Sep, 1944)
loading_bg/login_layer_n1;T-34-85 (Sep, 1944) vs Panther D
loading_bg/login_layer_o1;F7F-1 Tigercat
loading_bg/login_layer_p1;Ho 229 V3
loading_bg/login_layer_q1;Canberra B. Mk. 2
loading_bg/login_layer_s1;T-34-85 (Sep, 1944) and La-5-41
loading_bg/login_layer_t1;Soviet Ground Forces
loading_bg/login_layer_u1;M18 GMC vs Me 410 B-1
loading_bg/login_layer_v1;Ju 87 D-3 vs Il-2M (1944)
loading_bg/login_layer_w1;T-34-85 (Sep, 1944) and Il-2M (NS-37) vs Pz.Kpfw. IV F2
loading_bg/login_layer_x1;IS-6 and DB-3B
loading_bg/login_bkg_1_63_nolayers_jp;Ki 87
loading_bg/login_bkg_1_63_nolayers_uk;Swingfire and Brigand B. Mk. 1
loading_bg/login_bkg_1_63_nolayers_us;M163 and F-9J
loading_bg/login_bkg_1_67_nolayers_jp;Ki 67-I Kō vs P-47N-15-RE
loading_bg/login_bkg_1_67_nolayers_main;Centurion, Mk. I* and Typhoon Mk. Ib (Mar, 1943) vs Panther F
loading_bg/login_bkg_1_67_nolayers_us;T14 and B-10B
loading_bg/login_bkg_1_67_nolayers_ger;Ru 251 and Ju 87 B-2
loading_bg/login_layer_static_art_destroer_sumner_wide;USS Allan M. Sumner (DD-692) and F4U-4B Corsair
loading_bg/login_layer_dyn_1_81_ussr;T-80B (AVAGA), BMP-2D, and Mi-24V
loading_bg/login_layer_mig19pt;MiG-19PT
loading_bg/login_layer_a179;M1 Abrams
loading_bg/login_keyart_f_100d;F-100D-66-NA
loading_bg/login_layer_1_87_t2;T-2 (1979)
loading_bg/login_layer_art_ukdest;British Naval Forces
loading_bg/login_layer_187;AH-1F Cobra, M1 Abrams, and M247 Sergeant York
loading_bg/login_layer_it_cent;Centauro (preserie)
loading_bg/login_layer_it_gg;G.91 R/1 and ▄ F-84G-21-RE
loading_bg/login_layer_mig21;MiG-21F-13
loading_bg/login_layer_yugumo;Furutaka and Yūgumo
loading_bg/login_layer_ah1;▅ AH-1S Cobra (MC) (CN)
loading_bg/login_layer_uk_lynx;British Ground Forces
loading_bg/login_layer_leopard_2a4;Leopard 2 A4 and TAM
loading_bg/login_layer_1_75;French Ground Forces
loading_bg/login_layer_b1_bis;B1 bis
loading_bg/login_layer_us_1_77;"M1 Abrams, Challenger 1, Mk. 2, and AMX 30B2 BRENUS ""Advancing Storm"""
loading_bg/login_layer_bo_105;PAH 1 A1
loading_bg/login_layer_jp_1_65;Japanese Ground Forces
loading_bg/login_layer_fr_amx;AMX 40 P4
loading_bg/login_layer_fr_1_73;D.510 and N.C.223.3
loading_bg/login_layer_F_4_marathon;Operation S.U.M.M.E.R. — 2018
loading_bg/login_layer_173_narv;French Air Forces
loading_bg/login_layer_wt_6_years;6th Anniversary of War Thunder
loading_bg/login_layer_stormer_hvm;F.V.4333 (HVM)
loading_bg/login_layer_f_4_phantom;F-4C-24-MC Phantom II
loading_bg/login_layer_1_93_mangusta;AH-129C Mangusta
loading_bg/login_layer_us_1_65;F6F-5 Hellcat and F6F-5N Hellcat
loading_bg/login_layer_p51_1_71;P-51H-10-NA Mustang and XA-38-BH Grizzly
loading_bg/login_layer_saab_j29d;J 29 D Tunnan
loading_bg/login_layer_it_g91;G.91 R/4
loading_bg/login_layer_bmp3;BMP-3 and Ka-50 Black Shark
loading_bg/login_layer_rooikat76;Rooikat Mk1D
loading_bg/login_layer_swedish_aircrafts;Swedish Air Forces
loading_bg/login_layer_saab_j32b;J 32 B Lansen
loading_bg/login_layer_ah_64d;AH-64D Apache
loading_bg/login_layer_sw_tanks;Swedish Ground Forces
loading_bg/login_layer_saab_j35;J 35 D Draken
loading_bg/login_layer_1_97_strf_90c;strf 9040C
loading_bg/login_layer_ka_52;Ka-52 Alligator
loading_bg/login_layer_object_279;Ob. 279 and Tortoise
loading_bg/login_layer_1_04_20;Space Thunder
loading_bg/login_layer_trento;Trento
loading_bg/login_layer_khrizantema;9P157-2
loading_bg/login_layer_mirage_3c;Mirage III C
loading_bg/login_layer_t72b;T-72B (Kontakt-5) and Mi-28N
loading_bg/login_layer_g5_e;Q5
loading_bg/login_layer_northampton;USS Northampton (CA-27)
loading_bg/login_layer_jaguar;Jaguar G.R. Mk. 1
loading_bg/login_layer_t90;T-90A
loading_bg/login_layer_forrestal;USS Forrestal (CV-59), A-4B Skyhawk, and F-3B Demon
loading_bg/login_layer_battleship_dreadnought;HMS Dreadnought
loading_bg/login_layer_harrier_gr1;Harrier G.R. Mk. 1
loading_bg/login_layer_battlecruiser_von_der_tann;SMS Von der Tann
loading_bg/login_layer_helicopters_it;Italian Helicopters
loading_bg/login_layer_atomic_tank;The Atomic Tank
loading_bg/login_layer_atomic_tank/desc;"Reward for 100th level of the ""Steel Centurion"" Battle Pass season."
loading_bg/login_layer_m6a2e1;M6A2E1-1
loading_bg/login_layer_m6a2e1/desc;"Reward for 100th level of the ""Strength Athletics"" Battle Pass season."
loading_bg/login_layer_f_5a_rocaf;☀ F-5A-25-NO Freedom Fighter
loading_bg/login_layer_su_17;Su-17M4
loading_bg/login_layer_rsa_ground;South African Ground Forces
loading_bg/login_layer_thunder_toon_air;TailSpin
loading_bg/login_layer_thunder_toon_chars;Sky Pirates
loading_bg/login_layer_wt2077;Warfare 2077
loading_bg/login_layer_cn_spaag;PGZ04A and PGZ09
loading_bg/login_layer_t_80bvm;T-80BVM
loading_bg/login_layer_mig23_m;MiG-23M
loading_bg/login_layer_panhard_ebr_1963;EBR 90 (FL 11)
loading_bg/login_layer_panhard_ebr_1963/desc;"Reward for 100th level of the ""Fearless Voltigeur"" Battle Pass season."
loading_bg/login_layer_mig_27;MiG-27M
loading_bg/login_layer_saab_ja37;JA 37 C Viggen
loading_bg/login_layer_m1a1_hc;M1A1HC Abrams
loading_bg/login_layer_pt_76_57;PT-76B (BM-57)
loading_bg/login_layer_pt_76_57/desc;"Reward for 100th level of the ""River Hunter"" Battle Pass season."
loading_bg/login_layer_wiesels;Wiesel 1 A4 MK, Wiesel 1 A2 TOW, and leFlaSys Ozelot
loading_bg/login_layer_jaguar_a;Jaguar A
loading_bg/login_layer_avre;Centurion, Mk. 5 AVRE
loading_bg/login_layer_9_years;9th Anniversary of War Thunder
loading_bg/login_layer_battleship_scharnhorst;Scharnhorst
loading_bg/login_layer_type10;10TK
loading_bg/login_layer_kfir_c7;Kfir C.7
loading_bg/login_layer_israel_aircraft;Israeli Air Forces
loading_bg/login_layer_su_8;Su-8 vs Panther D and Tiger E (spät)
loading_bg/login_layer_su_8/desc;"Reward for 100th level of the ""Firepower"" Battle Pass season."
loading_bg/login_layer_a_10a;A-10A (1979)
loading_bg/login_layer_arizona_1931;USS Arizona (BB-39)
loading_bg/login_layer_black_night;"Challenger 2, Mk. 2 ""BN"""
loading_bg/login_layer_desert_2022;Worm Thunder — 2022
loading_bg/login_layer_elefant;Elefant
loading_bg/login_layer_elefant/desc;"Reward for 100th level of the ""Armored Elephant"" Battle Pass season."
loading_bg/login_layer_battlecruiser_hood;HMS Hood (51)
loading_bg/login_layer_g6_rhino;G6-45 Renoster
loading_bg/login_layer_f_14a;F-14A-110-GR Tomcat
loading_bg/login_layer_object_248;IS-5 (1944)
loading_bg/login_layer_object_248/desc;"Reward for 100th level of the ""Field Testing"" Battle Pass season."
loading_bg/login_layer_leopard_2a6;Leopard 2 A6 vs. T-90A and ZTZ99 (2 Qí)
loading_bg/login_layer_changhe_z10;Z10
