<ID|readonly|noverify>;<English>
//GUNS
weapons/5_8mm_QJT_user_machinegun;<color=@userlogColoredText>5.8 mm</color> QJT2001式5.8毫米并列机枪 <color=#ff6f00>MG</color>
weapons/7_62mm_Type_55_user_machinegun;<color=@userlogColoredText>7.62 mm</color> 1955年式7.62毫米坦克机枪 <color=#ff6f00>MG</color>
weapons/7_62mm_Type_59_user_machinegun;<color=@userlogColoredText>7.62 mm</color> 1959年式7.62毫米坦克机枪 <color=#ff6f00>MG</color>
weapons/7_62mm_Type86_user_machinegun;<color=@userlogColoredText>7.62 mm</color> 1986年式7.62毫米并列机枪 <color=#ff6f00>MG</color>
weapons/7_62mm_T74_user_machinegun;<color=@userlogColoredText>7.62 mm</color> T74 7.62公厘機槍 <color=#ff6f00>MG</color>
weapons/7_62mm_T74v_user_machinegun;<color=@userlogColoredText>7.62 mm</color> T74V 7.62公厘同軸機槍 <color=#ff6f00>MG</color>
weapons/12_7mm_Type_54_user_machinegun;<color=@userlogColoredText>12.7 mm</color> 1954年式12.7毫米高射机枪 <color=#ff6f00>MG</color>
weapons/12_7mm_type_77_user_machinegun;<color=@userlogColoredText>12.7 mm</color> 1977年式12.7毫米高射机枪 <color=#ff6f00>MG</color>
weapons/12_7mm_QJC_88A_user_machinegun;<color=@userlogColoredText>12.7 mm</color> QJC1988A式12.7毫米车载高射机枪 <color=#ff6f00>MG</color>
weapons/14_5mm_QJG02_user_machinegun;<color=@userlogColoredText>14.5 mm</color> QJG2002式14.5毫米单管高射机枪 <color=#ff6f00>MG</color>
weapons/cannonType_23_1;<color=@userlogColoredText>23 mm</color> 23毫米1型航空机炮 <color=#ff6f00>ACNN</color>
weapons/cannonType_23_1_plane;<color=@userlogColoredText>23 mm</color> 23毫米1型航空机炮 <color=#ff6f00>ACNN</color>
weapons/cannonType_23_1_plane_turret;<color=@userlogColoredText>23 mm</color> 23毫米1型航空机炮 <color=#ff6f00>ACNN</color>
weapons/cannonType_23L;<color=@userlogColoredText>23 mm</color> 23毫米3L型航空机炮 <color=#ff6f00>ACNN</color>
weapons/cannon_type23_2k;<color=@userlogColoredText>23 mm</color> 23毫米2K型航空机炮 <color=#ff6f00>ACNN</color>
weapons/cannonType_23_3;<color=@userlogColoredText>23 mm</color> 23毫米3型航空机炮 <color=#ff6f00>ACNN</color>
weapons/25mm_PG87_PGZ_user_cannon;<color=@userlogColoredText>25 mm</color> WA717A | PGZ2004A式四管25毫米履带自行高炮 <color=#ff6f00>ACNN</color>
