<ID|readonly|noverify>;<English>
//LOADING SCREENS
loading_bg/login_layer_armored_vehicles;VBCI MK2 (MCT-30), VBM Freccia C/C, and БТР-80А
loading_bg/login_layer_fire_and_forget;AH-64E Apache (v6), Ми-28НМ, and Z10ME-02
loading_bg/login_layer_mig_25pd;МиГ-25ПД
loading_bg/login_layer_bmpt_72;БМПТ-72
loading_bg/login_layer_nuclear_thunder_tu_95m;Ту-95М
loading_bg/login_layer_yak130_m346;Як-130 and M-346FA
loading_bg/login_layer_it_fiat_6616_ub;▂ Fiat 6616BM (TC 20) (УБ-16-57УМП)
loading_bg/login_layer_it_fiat_6616_ub/desc;"Reward for level 100 in the ""Do It Yourself"" Battle Pass season"
loading_bg/login_layer_ship_marathon_guardian_of_the_baltic_sea;Октябрьская революция

//PROFILE HEADERS
profile_header_tu_95m/name;Ту-95М
profile_header_it_fiat_6616_ub/name;▂ Fiat 6616BM (TC 20) (УБ-16-57УМП)
